DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2014-05-07,925.31 ,1281.25,195.86 ,533.97,252.47
2014-05-08,913.86 ,1156.6 ,105.51 ,262.96,261.88
2014-05-09,176.8  ,493.47 ,0      ,0     ,348.6
2014-05-10,944.19 ,1206.07,0      ,107.31,253.83
2014-05-11,823.41 ,1111.36,94.4   ,469.42,231.51
2014-05-12,769.01 ,1089.83,175.82 ,479.16,224.81
2014-05-13,740.8  ,1108.5 ,177.92 ,481.15,223.23
2014-05-14,713.24 ,1120.87,180.26 ,487.45,225.84
2014-05-15,743.83 ,1051.71,64.25  ,456.34,210.63
2014-05-16,736.09 ,1069.25,0      ,450.38,210.13
2014-05-17,782.88 ,1065.51,0      ,455.79,232.87
2014-05-18,834.68 ,1060.68,0      ,455.57,225.92
2014-05-19,788.8  ,1070.94,0      ,450.86,220.88
2014-05-20,783.06 ,1039.28,0      ,454.02,222.58
2014-05-21,743.77 ,1051.25,0      ,454.45,221.78
2014-05-22,735.41 ,1056.25,0      ,459.04,223.49
2014-05-23,742.89 ,1067.53,0      ,463.91,224.58
2014-05-24,746.54 ,1079.36,0      ,468   ,224.8
2014-05-25,750.57 ,1102.34,1.3    ,469.68,218.49
2014-05-26,727.26 ,1057.78,144.14 ,448.28,195.66
2014-05-27,715.5  ,1063.17,164.82 ,449.19,201.53
2014-05-28,695.01 ,1087.43,189.1  ,416.03,231.07
2014-05-29,698.77 ,1096.32,190.12 ,418.28,234.29
2014-05-30,704.08 ,1111.83,191.25 ,420.8 ,237.1
2014-05-31,715.93 ,1134.99,194.94 ,428.87,241.19
2014-06-01,724.21 ,1152.6 ,196.08 ,431.47,243.64
2014-06-02,459.83 ,1068.24,194.41 ,325.75,221.03
2014-06-03,715.1  ,1109.18,194.94 ,411.55,239.71
2014-06-04,706.8  ,1109.98,193.38 ,421.75,237.3
2014-06-05,677.29 ,1178.62,204.21 ,445.16,255.67
2014-06-06,690.38 ,1180.81,204.19 ,445.36,256
2014-06-07,694.3  ,1199.75,205.56 ,448.72,257.84
2014-06-08,690.7  ,1197.7 ,205.52 ,452.13,256.49
2014-06-09,238.45 ,1349.24,231.66 ,509.65,288.87
2014-06-10,647.11 ,1189.09,205.19 ,451.41,255.7
2014-06-11,745.92 ,1172.31,205.71 ,452.56,254.83
2014-06-12,804.85 ,1175.15,205.41 ,451.89,253.87
2014-06-13,818.89 ,1116.79,193.5  ,503.1 ,239.97
2014-06-14,781.21 ,1102.45,190.4  ,495.05,236.57
2014-06-15,786.16 ,1104.3 ,190.81 ,496.1 ,236.55
2014-06-16,757.43 ,1120.89,192.67 ,500.94,232.51
2014-06-17,726.5  ,1156.42,188.43 ,489.91,231.91
2014-06-18,723.96 ,1160.01,187.27 ,486.9 ,229.52
2014-06-19,715.28 ,1147.01,186.05 ,483.72,225.7
2014-06-20,710.62 ,1146.84,185.52 ,482.36,226.71
2014-06-21,708.04 ,1146.08,184.04 ,478.49,225.72
2014-06-22,702.73 ,1136.02,182.39 ,474.22,223.97
2014-06-23,695.74 ,1117.48,179.37 ,466.36,219.8
2014-06-24,658.27 ,1169.41,187.64 ,440.96,226.23
2014-06-25,576.35 ,1199.09,196.91 ,462.73,231.36
2014-06-26,369.83 ,660.56 ,120.5  ,183.67,127.49
2014-06-27,418.45 ,964.21 ,173.73 ,296.83,205.56
2014-06-28,588.96 ,1119.75,186.58 ,394.59,225.63
2014-06-29,571.88 ,1107.66,187.26 ,432.02,220.34
2014-06-30,512.52 ,1141   ,191.87 ,442.64,226.06
2014-07-01,563.26 ,1109.35,186.83 ,439.06,226.89
2014-07-02,564.26 ,1109.15,186.85 ,439.09,226.6
2014-07-03,565.09 ,1110.91,187.02 ,439.5 ,226.34
2014-07-04,563.73 ,1111.67,185.51 ,435.95,225.47
2014-07-05,563.46 ,1107.58,185.2  ,435.23,225.66
2014-07-06,563.38 ,1098.4 ,184.96 ,434.67,225.73
2014-07-07,522    ,1110.52,188.38 ,442.68,229.33
2014-07-08,523.33 ,1104.61,189.5  ,445.32,230.15
2014-07-09,521.97 ,1100.81,188.9  ,443.92,230.38
2014-07-10,490.49 ,1109.35,191.88 ,450.92,233.28
2014-07-11,491.71 ,1106.42,192.49 ,452.35,232.53
2014-07-12,488.44 ,1120.08,188.82 ,443.73,231.65
2014-07-13,481.59 ,1109.35,188.11 ,442.05,229.51
2014-07-14,492.02 ,1091.38,185.57 ,436.1 ,226.01
2014-07-15,476.08 ,1117.68,189.03 ,444.23,233.07
2014-07-16,466.34 ,1110.34,187.73 ,441.15,231.68
2014-07-17,463.64 ,1102.21,187.62 ,440.9 ,231.08
2014-07-18,459.37 ,1095.2 ,186.27 ,437.73,229.48
2014-07-19,458.09 ,1094.58,185.94 ,436.95,229.08
2014-07-20,290.87 ,1063.56,191.61 ,380.77,155.38
2014-07-21,487.33 ,1047.69,191.45 ,414.84,133.54
2014-07-22,468.63 ,1047.04,189.9  ,446.27,224.19
2014-07-23,465.25 ,1037.74,188.17 ,442.19,221.77
2014-07-24,466.58 ,1051.17,190.51 ,447.69,223.21
2014-07-25,464.22 ,1056.31,189.06 ,444.29,225.33
2014-07-26,458.9  ,1044.72,186.07 ,441.5 ,223.58
2014-07-27,460.83 ,1052.32,189.06 ,444.28,225.86
2014-07-28,457.95 ,1047.4 ,187.63 ,440.93,225.28
2014-07-29,481.51 ,1040.16,186.18 ,437.53,224.12
2014-07-30,489.43 ,997.38 ,153.93 ,418.68,214.87
